restaurant,comment
Green China Grill,"hey there. first of all thank you so much for coming to our restaurant. we just recently higher our price by $1, and our new menu is coming out next Monday. that's why before we take your order we let you guys know, we let every single customer know before taking the order.  I remember we told you guys twice before we take your orders.  our restaurant is well know in asian community, we provide good service and foods, we will never scam our customers. lastly, for the service fee, we automatically add that for the party of 5-6 or more people, for that,   I do sincerely apologize for that for not letting you guys know. we were super busy as you can see today, and it was 100% our fault for not letting you know. once again, I want to apologize to you my friend, and come back anytime we will make it better. have a wonderful night."
Green China Grill,"Very authentic noodles. They can make any noodle in soup or fried noodle. And I love the skewers, especially very flavorful lamb skewers and snow beef skewers. My personal favorite is the rice noodle, it's a cold fish full with flavors. Very clean restaurant and refreshing. Will be back soon. 这家拉面馆太地道了,简直就是国内的味道。"
Green China Grill,"I am so happy that I walked into Green China Grill a few months ago, it is very, very good and I am an enthusiastic regular now. The noodles are fantastic, all hand made to order, which you can observe through a window into the kitchen. The soups and grilled dishes are all delicious, my favorites are the beef sirloin noodle soup, any of the fried noodle dishes, and cumin spiced chicken. I always start with the wonderful beef pancake. I am getting hungry just writing this!The place has a pleasant, casual vibe, staff is very friendly. They are happy do discuss the menu with you and make recommendations. Great place, nice people, wonderful authentic Chinese."
Green China Grill,The remake a beautiful wall and floor. New environment make me feel so happy. Foods are always great. will definitely come back.
Green China Grill,thank you so much !
Green China Grill,Best LiangPi in town!!! Authentic LiangPi (cold noddle ) from West-North Chinese style. They hand made them daily. Fresh and Goooood. I can eat this EVERYDAY.
Green China Grill,food is too cold when served，especially one of which is supposed to be BBQed. Noddles are ok. Do not order others
Green China Grill,Hi. josh. sorry for the bad experience with us. which dish did you order? we do have some noodles that go through cold water when cooked. its part of the process of making certain type of noodle dishes. id be happy to make it for you again if you decide to come back. have a good day
Green China Grill,"I was actually stalking my ex, when I thought he saw me and I hopped into this restaurant so he wouldn't see me. Hahaha. I ordered a noodle soup and sour cabbage pancake. I was pleasantly surprised how good the food was. And the service is wonderful. Super clean restaurant  and the Staff is super funny and easy  to talk to. Will be back soon. Highly recommend."
Green China Grill,"hahaha kel, im glad you liked our food. what a funny experience you had. welcome back anytime."
Green China Grill,"I ordered tomatoes eggs sliced noodles. When the food got here, the noodles were almost FROZEN. Too salty as well. Absolute garbage."
Green China Grill,"hey Delong, I am so very sorry that you had a bad experience here. our tomato and egg sliced noodle is a noun soup dish. so if you do take out, its gonna all get stuck together. also you ordered on uber and the food was ready for a long time until the driver gets here. next time come back to the store and order the same dish and eat at the store, I promise you its going to be better. and my treat, too. hope to see you again so we can make it up for you."
Green China Grill,Came about an hour before closing and they were still bustling (nothing less expected from convoy st.) The staff was extremely friendly and attentive right away. It took less than 10 minutes for our food to come out. We got 1 of everything on the menu. I would recommend this place to anyone looking for something different among the saturation of KBBQ and ramen spots. This is a definite go to.
Green China Grill,"No wait, dishes come out pretty fast, friendly staff, and amazing hand-pulled noodles. Comfortable environment, and the staff make sure to sanitize and clean the tables/ground thoroughly!Favorites:- Choose 3 appetizer/plate- Braised beef noodle soup- Lamb kebab"
Green China Grill,thank you jessie.
Green China Grill,"This used to be a four stars place every time I was craving for beef noodle and beef pancakes. Recently they increased the prices, which is understandable considering most ingredients becoming more expensive. However, the beef in the beef pancakes got way less than before that it should be called onion pancakes for now."
Green China Grill,"Overall a slightly better than average experience. Came on a Saturday with a group of 4 at 11:30 am and was seated immediately. Here's what we got:Beef noodle soup with thin hand pulled noodles: soup is subtle in flavor (it was supposed to be spicy but I didnt get any hint of that). Beef chunks were delicious but they only gave maybe 4 or 5 small pieces. They were generous on the noodle portion though. Noodles were good but soften pretty quickly.Cumin hand pulled noodles: delicious! It's loaded with cumin and onions. Noodles were coated with flavor and oil. Side dishes from the food bar: you need to order these separately by going up to the counter. We had the cucumber, tofu and black fungus (?). They pretty much all had the same flavor, a bit sweet but good!"
Green China Grill,Thank you Joann!
Green China Grill,"During the pandemic time, we wanted to support local restaurants and businesses so we wanted to try as many different restaurants as possible. We came across Green China Grill one night. We were craving some noodle soup so we found this place selling beef noodle soup. We ordered couple of dishes to go. To our surprise, we really loved their beef noodle soup! Chinese beef noodle soup can taste different from different regions of China because people use different ingredients. We loved this simple yet flavorful beef soup! Their noodles are great too! Definitely made in the restaurant! I liked the wide thick noodles that they served. We couldn't get enough of the beef noodle soup. We also liked their stir fried cumin beef noodles. Again, wonderful dish with flavors. Not to salty or oily. Excellent noodles and just cooked perfectly. We also loved their grilled items such as Lamb Skewers and rice bun. We totally loved this place after our first visit so we have been here 3 times in just couple of months. We also tried their Big Plate Chicken which was also great. It seems all the dishes we tried here were great so we are going to be regular customers for sure! So glad that we discovered this noodle place!"
Green China Grill,"This place one hundred percent has left a lasting impression , from a very tentative staff and amazing home style meals.....the fact is; it has left such an impression I ate there yesterday and wanted to leave a review!!!!! And will be going back to enjoy more of there deep and flavorful dishes ....!!!!!!"
Green China Grill,"The first few times I've been to this restaurant for their braised beef noodle soup, I've had good experiences. However, that was years ago, and this recent experience wasn't a good experience.Before grilling and bashing on the food, I'll have to give them a thumbs up for their noodles. The noodles I got are knife cut noodles and the texture is great. You can tell that the noodles aren't cheap ramen noodles, it took more effort to make these noodles. What made me dislike this beef noodle soup dish is, first, the quantity of the meat. I had a large bowl of noodles and just around 5 very small pieces of meat. Now, the worst experience is the soup base. It was just saturated with white pepper. It was so strong that within 5 minutes of eating I could just taste white pepper throughout my throat and mouth. Water didn't help much either. I've had so many beef noodle soup dishes in China, around US, at home, and this has got to be my worst experience.I'm not sure if I'll ever come again now, and I don't think I would recommend this place to my friends anymore. The price also increased here, so I'd rather spend $15 at Menya Ultra or other better noodle places than here."
Green China Grill,"Hi, thanks for your feedback, we have confirmed with our Chef, our soup doesn't contain any white pepper, if you have further questions, please let me know!^-^"
Green China Grill,"As it name says this restaurant is also green inside, parking is very difficult to find during peak hours. Service is good. We came here for the skewers since this seems to be one of their specialties. Unfortunately they do not serve steamed rice I would have love to have eaten my skewers with a cup of rice. We ordered:- Beef and Lamb skewers.- I'm not a fan of cumin so we asked without it and they were very good and tasty but I think the portions were kind of small. - Spicy hot oil noodles.- good and spicy. - Bake bread.- unfortunately for me they add cumin to them but they had a good taste and the cumin flavor wasn't overpowering but I would have preferred them without it. Overall it was a good experience."
Green China Grill,"Hi, Rene, sorry for that inconvenience, we have white rice to serve now, wish you can come to our restaurant again!"
Green China Grill,Stupid and evil people! Plus dirty food! Be careful of the hairs in your plate! Will never recommend!
Green China Grill,"Suuuuper authentic Northern Chinese food, so authentic and right it made my friend a grown man cry. Recommend getting the lamb skewers and the big plate chicken. This place just feels so comfortable and homey it's insane, food is great too and fairly priced."
Green China Grill,"Fresh handmade noodles are sublime, as were the pancake appetizers. Highly recommended"
Green China Grill,"Food is ok!  But there is the problem of arbitrary charges.  Check it out carefully before paying.  The waiter will ask you to pay by cash or credit card when ordering.  If it is a cash payment method, there will be a 10% discount.  But at the time of checkout, the bill is the full charge plus a 20% service charge.  When I asked about a 10% discount on cash payment.  They are not willing to give me a 10% discount, but the 20% service fee is still adjusted according to the original without discount (with pictures), so please read carefully before paying.  2 stars are for food."
Green China Grill,"Delicious fresh noodles, can't wait to be back. Great customer service, very attentive."
Green China Grill,"First time here and the restaurant was pretty packed. Didn't have to wait long before being seated. The staff are very friendly and the food is delicious! They make fresh hand pulled noodles for their dishes. I loved their skewers and braised beef noodle soup! Glad I came in to try it, I will be back soon!"
Green China Grill,"For the last 6 years, Green China Grill has been my go-to spot in San Diego for amazing braised beef noodle soup. Quality has not changed since the day I've been here, and COVID hasn't seem to shake this restaurant. You can see the noodles being hand made from the window they have into the kitchen, and the soup is clean, but still felt rich with flavor and spices. Chris especially made me feel extra welcome and comfortable during my time here with new and recurring customers. We'll all be coming back whenever we get a chance to be in the area."
Green China Grill,"I was in town for a conference. There's not a lot of great authentic Chinese food where I'm from, so I did some research on the best options for hand-pulled noodles. This place did not disappoint! We made a reservation and they had a table waiting. We tried both the hand-pulled noodles, the cut noodles, the beef pancake and the skewers. It was all incredibly fresh, delicious and really authentic. The service was great and the price was fair. It was also a lot of fun to watch them making the noodles through the window into the kitchen. The manager Chris even gave us a tip on where to get dessert nearby."
Green China Grill,"My boyfriend and I love their noodles! They are fresh hand pulled/cut noodles and you can watch them make them onsite. We also really enjoyed  their cold side dishes such as wood ear mushrooms, celery with bean curd, and shredded potatoes. The soup broth that they serve with the noodles is so flavorful. The restaurant is very clean and I felt very safe and welcomed there."
Green China Grill,"I am so glad you enjoy the food my dear, come back anytime ;>"
Green China Grill,Came for lunch for the first time today and the food was so good I can't wait to come back!The noodles are perfect texture and the lamb skewers are phenomenal. Service was friendly and helpful.
Green China Grill,"Really good, enjoyed everything we ordered have to try the beef pancakes and chicken/lamb skewers!! I will be returning"
Green China Grill,"Came here on a weekend and was able to get seated immediately. After looking over the menu, we ordered a spicy beef noodle soup with hand pulled noodles and a fried cumin noodle stir fry.They serve the food as it is ready, so we got the noodle soup and the stir fry took another 5 min or so. The broth on the soup was clear, and a bit bland. We added the chili sauce, which helped quite a bit. The beef was very tender and the noodles initially had a nice mouth feel with a good bite to it. About 2/3 of the way through, the noodles started losing their consistency and softening quite a bit. From al dente to almost mush. It was the better of the two dishes.The stir fry dish tasted like what you might get from a panda express. There wasn't much meat, and it was quite oily. We added the chili sauce/oil to this as well to help with the flavor. We can't say that we were too impressed with what we had."
Green China Grill,"Hi, Kim, we do recommend the thicker noodle for the noodle soup, then it won't so soften so quick, and we have updated it recently, wish you can come and try again!"
Green China Grill,"We were just looking around on convoy st. The so called Asian nation lol,  and found this place on Yelp. Me and my wife loved Green China Grill. We came in kinda late around 8:45, and we were told the kitchen is going to close in 5 mins. The waiter welcomed us in, and spent time to explained us  the menu super patiently and gave us recommendations, He didn't make us feel rushed or anything, even though they're closing at 9pm. He recommend the Spicy Oil Noodles and Braised Beef noodle soup. They were superb! Reminded me the noodle I had while I was in China. They make the noodle fresh in front of your eye that's pretty cool. The noodle is super tasty and chewy, and the beef is tender and flavorful. They soup is to die for, Warm and full of flavors. The only thing is that I hope they give you more cilantros in the noodles. Lol We enjoyed the food, and the service was wonderful. Our waiter waited til we finished dinner, Thanks again Green China Grill. We will be back."
Green China Grill,We just had our first lunch at the Green China Grill.  We're former travel photographers so we've done our share of eating our way through most of the world so so it was a pleasant surprise to experience some truly authentic food from the Tarim Basin in China (where most of the Uyghurs live) right here is the San Diego County US. If you're interested in something that's truly an amazing cuisine; the Green China Grill is your kind of place.  They make their own noodles (an art form in itself) right in front of your eyes.  Everything is totally fresh and the service is amazing.
Green China Grill,"I don't know what was more green: the title of the restaurant or the faces of my friends when I told them about the delicious food I ate! A great establishment with fresh made noodles, homey feeling skewers, and a kinda staff to match. Come here for an authentic experience! -Ernesto"
Green China Grill,"The beef noodle (clear broth) is so good!! It has vegetable, cilantro, daikon, and beef slices (this is not Taiwanese beef noodle so don't expect the big tender chunks) as toppings, and the broth tasted so flavorful and full bodied. Noodles were perfect, you can really tell the texture difference with the hand pulled noodles. If you have had Lanzhou beef noodle before you will agree this place is legit. Lamb skewers were also very good, I like that you can taste the smokiness of the grill (gotta eat it ASAP). Beef and sour cabbage pancake was good, but the texture of the dough can be more layered. The restaurant was very clean and the staff was friendly and fluent in both English and Chinese. Been looking for a home-ly Chinese soup noodle place in SD and I think this is it! We will be back to try the rest of the noodles. Also they do charge for to go containers but you can bring your own reusable container to save money and save the planet :)"
Green China Grill,thank you Erica. I'm so happy you enjoyed the food here. come back anytime ;>
Green China Grill,"First time here and I was SO impressed! The vibe is fresh and bright, and the food was incredible- super authentic and fresh. The manager Chris was so helpful and gave us great recommendations, and all our food came out so fast!! Will definitely be back"
Green China Grill,"If a restaurant serves beef noodle soup I have to try it!I came here because of a friend's recommendation. I was warned that I won't get a lot of beef but I'll get a lot of noodle for their beef noodle soup.And that is exactly what I got and this is also why I only gave 4 stars. I'm usually not a fan of the braised beef so having very little of them isn't a problem for me, but the problem is that I don't think it's worth what I paid for. Other than that, I like their soup base and overall the noodle soup is good!"
Green China Grill,Thank you Cynthia!
Green China Grill,"4 Stars!  I love this place. They only make the noodles when you order, no premade noodles here so you can expect freshly made noodles every time you order! The noodle soup is a big portion so highly recommend that you share and try their different dishes on the menu.  I notice that they use cummins and other types of herbs, so you might or might not like it, but I don't mind. Also if you pay by cash, you get 10% off your entire bill. Yes, I will definitely come back and highly recommend this place for noodle lovers."
Green China Grill,"Thank you, Molly!"
Green China Grill,"I tried green china grill over the pandemic when they first reopened and got their takeout which was good already, but dining in was a great experience! Their interior is bright and colorful (light green walls) and the waiter was super friendly and helpful. The menu includes pictures of the noodle sizes to help you decide, but our waiter still walked through them with us and told us his favorites/recommendations. I ordered the beef noodle soup with regular sized noodles but since I like thicker noodles I think I could've gotten the thick ones instead. Each table (also in takeout orders) has their homemade chili oil which is so good if you enjoy spicy food. I couldn't finish my food so I let my friends finish the meat that came with my order and they said my meat was tough compared to theirs, but since I didn't eat it I can't comment on it. Would definitely add this to the rotation for noodle soup cravings!!"
Green China Grill,"Hi Megan, love. thank you so much for you kind review. come back anytime and try different dishes."
Green China Grill,If you are looking for great authentic Chinese food at a good price come here. Almost everything is made from scratch and is very fresh. You can even watch them make the noodles right before you eat them. The restaurant is also very clean. There is a good variety of spicy Sichuan food and fresh cold summer food.
Green China Grill,thank you so much Jason !!!
Green China Grill,"(An indoor restaurant) If you don't mind a dog sit on the chair right next to your table and shake its body frequently, the dusts later flows over to you table, then it's a good place to go. The food are decent."
Green China Grill,"very tasty chinese style noodle, definitely recommend for friends who want to try legit chinese style food."
Green China Grill,"Great service, and super fast. Noodles, soup, and beef are made perfectly every time."
Green China Grill,"Great service, amazing food, would recommend to anyone. Ask for Chris, an amazing honest server who will give you an amazing experience!"
Green China Grill,Great food and great service. Our server Chris made sure that we had the best experience possible and helped us order dishes we would like. Everything was fantastic.
Green China Grill,Great authentic food and kind service! Perfect warm soup for the soul on a chilly afternoon.
Green China Grill,"These sour cabbage beef pancakes are the frickin bomb holy moly. Oh and let's not forget to mention the fresh knife cut noodles, which are pulled freshly right in front of you! You can't go wrong with the cucumber sesame noodles or the beef knife cut noodle soup!I came here for the first time because Tasty Pot had a massive wait and I've been coming back to this place more than I have Tasty Pot since then. You really can't find the same taste you find here anywhere else. Savory, comforting, and delicious. The only downsides to this place are the portion sizes aren't the biggest. For $11 you don't get a lot of beef and noodles, but they are FRESH, so you're paying for quality over quantity; keep that in mind. Also, parking is a pain the BUTT, especially during weekend peak hours. It's just Convoy being Convoy, so keep that in mind too.Overall, this place is underrated because everyone comes to this place to go to Tasty Pot, but definitely come here if you get a chance and/or are craving some dank soup."
Green China Grill,Worst customer service. Demanded use venmo or with a additional fee with credit card to order over the phone. The lady there are all pretty rude. Food is mediocre and the boss lady is super ignorant as well. The employees were just standing and not doing anything
Green China Grill,Their food is really good I love their beef broth. But the customer service can really use some work. I will love to see they improve on that. Other than that the food is 10/10.
Green China Grill,"This place has been around for a long time, you can easily recognize it with its Shrek green walls. Unfortunately it's pretty slept on as it's next to Spicy City and China Max, both Convoy staples. I finally went a few days ago- I'm a big carb girl whose parents are from the Northwest of China, so we love a good hand pulled noodle. This place definitely doesn't disappoint! It has noodle dishes (beef noodles are their speciality), shish kebabs, and other cold dishes. I got the beef and spicy/sour pickled vegetable noodle soup with knife cut noodles (you can see them slice the noodles/pull the noodles through the kitchen window), and my boyfriend got cold hand pulled noodles with cucumber slivers and a sesame sauce. We shared roasted, seasoned mantou (steamed bread) which was dusted w/ chili powder and cumin. I loved the mantou, it was spicy, fragrant, and crunchy. Garlic bread WHO? I liked the al dente-ness of the hand pulled colled noodles and wish there was more of that sensation with my knife cut noodles, which got soft quickly after sitting in the broth. My only complaint is that there were 3-4 slices of thin beef in my soup (the beef was tasty though). Will be back!"
Green China Grill,"Thank you, Nathalie!"
Green China Grill,"My rating is more like a 3.5, but the quality of the noodles definitely bumped it up! I ordered the handpulled beef and sour cabbage noodle soup and here were my thoughts:PROS:- Flavorful enough broth. It wasn't too diluted and I enjoyed mine with sour cabbage and a bit of chili oil! (Be careful not to go too heavy-handed with it though)- some of the BEST noodles I've ever had! They weren't dry, but still had a bit of a chew to to them without being obnoxious and annoying to eat.- VERY GENEROUS portion of noodles, I couldn't even finish them!- fair to decent pricing- service wasn't bad, averageCONS:- I only had three thin slices of beef... Finished them in the first few minutes of eating and ended up only really eating noodles for the rest of the meal- parking in this plaza is horrendous, unsurprising, but never gets not annoying - sour cabbage wasn't quite sour enough for me, but not a big deal breaker"
Green China Grill,"Thanks for the suggestions, we have improved our menu recently, wish you can come and try!"
Green China Grill,"I got their signature sirloin noodle soup and was able to try the lamb and beef skewers. Everything was excellent! The noodle from the sirloin noodle soup was so firm and tender at the same time, it's pretty ridiculous. I was expecting the soup base to be a little bland since its a lighter broth and I read some reviews saying that it might be tasteless, but it came to my surprise that the broth was very flavorful. One thing I want to complain about is the amount of beef in the soup. There were like 4-5 slices of beef only, it would've been great if there was more.The lamb and beef skewers are definitely something worth ordering as well. They are not shy about using those spices, just the way I like it! Overall, service was prompt and attentive on a week day lunch. Will definitely recommend this place to anyone who wants a taste of fresh noodles!"
Green China Grill,"LOVE this place. Have been going here since 2016 and always always top notch service and the food is bombbbbb. I always get the beef pancake ( my favorite apps ) and the brisket noodles soup. If you love noodles, give this place a try. I love it and I've never been a fan of noodles soup but this will change your mind!! Also don't forget to try their skewers, it's sooooo good!! 10 out of 10"
Green China Grill,Nice restaurant with authentic Chinese food plus the service is great highly recommended!
Green China Grill,"And forget to mention their customer services,  mostly are girl working here and all of them are treating people nicely with patience. I like it."
Green China Grill,"Recommend to any handsome men and pretty ladys who are cravying for a comfort food. Me and my family visited Green China Grill three times already, love their authentic beef noodle soup, clear but also tasty broth with their fresh made ""Lan Zhou兰州"" hand pull wheat noodle. And don't forget to try put the grilled beef scewers and lamb scewers as appetizers, they are fantastic!"
Green China Grill,"This is a clean, simply decorated restaurant. The menu is easy enough, not too extensive. Staff and service are okay.I got the vegetables and eggs fried noodles (H), which had onion, tomato, cabbage, green pepper, carrot, and egg. The noodles were alright, possibly freshly made, they were maybe a minute undercooked but were fine. The flavor for the dish was alright, a little oily, it just smelled like chinese food. I wish there was a little garlic flavor to enhance it. It's a good portion for the price, since they noodles are made in house (allegedly)."
Green China Grill,"This restaurant was awesome, the food was Chinese traditional! Love it!  By the way, the wall's picture attractive and so we are enjoy the environment!"
Green China Grill,thank you my friend. I'm glad you enjoyed it.
Green China Grill,"November 2017: Can you say hot hot hot.... this place was a pleasant surprise. We were actually in this plaza for another restaurant craving for hand pull noodles and realized the restaurant had been replaced.  So walking to our cars we see pictures outside this restaurant it seems as if they have hand pull noodles.  So of course we went to check out the menu and lucky us this was what we wanted without having to drive to another restaurant.  It was packed but one available table for us. Seems as everyone speaks mandarin,  employees and customers.  So seems like the place to be. We asked for suggestions and was recommend to get the hot oil noodle. Which we did and it was hot hot hot but so good good good. I did have heartburn after I ate it. The noodles are perfect I couldn't stop looking at the ladies making the noodles.  The right amount of thickness. The right amount of chew and the right amount of sauce. How did I not know about this place I? One down side to this dish is that there's nothing in it but noodles and sauce. But it didn't bother me I'm all about the carbs. We also ordered their cold noodles that comes with cucumbers and sesame paste.  This was so good as well and definitely refreshing.  It helped cooled down my mouth after each bite of the hot oil noodle.  I love sesame paste so I already knew this dish was also a winner.On the side we had the beef pancakes that has sour cabbage inside.  This was different I have never had the sour cabbage with this dish before and it was actually a great balance. A bit oily than what I'm used to but the cabbage helped with that."
Green China Grill,"Beef pancake is not bad- almost as good as the one at 101 Noodle House. The appetizers are surprisingly good. Is it weird that I find the potato salad too addicting? Use caution if you have low spiciness tolerance, or just forget about it and ask for a whole jar of ice water ...Some staff seem to be still in training. Will come back and check for improvement."
Green China Grill,"Hi, our menu and all services are all developed! Wish you can come and try again!"
Green China Grill,"Clean place, decent food. Everything was all good until when we're almost finished. I don't like raw onions, and my noodle had onions in it... I didn't know when I ordered. Anyways, no biggie I could just pick them out. All was still fine until one of the waitress or owner maybe came asking me if I don't like onions, so I answered yes. She then said to me that I should've said it earlier and they could've not added it. I then replied in a apologetic tone telling her I didn't know when I ordered... She finally walked away.Now this would've been fine with me if she hadn't used a crappy tone talking down on me, and constantly circling back as if she's having her eyes on me for trying to waste more food.Shame. Decent food, bad attitude from one bxtch waitress."
Green China Grill,"Their handpulled noodles are amazing!! I got the beef noodle soup. The broth was pretty good but I decided to give it an extra kick and add some chili oil. The noodles were fantastic as well as the flavor of the beef! I only wish they gave more beef, but the large amount of noodles they gave made up for it and I ended up really full. I also ordered the pancake with a mix of sour cabbage and beef. I thought it would be a pretty flat pancake, but it was more of a burrito size!! The pancake would definitely make a delicious snack!Service was also pretty good. The waiter refilled out waters when it was running low and was overall super friendly! Finally the green decor and atmosphere was definitely cheery and upbeat :)"
Green China Grill,Braised Beef Noodle soup never disappoints. Best pulled noddles in San Diego. 5 star review! Chris was very inviting & courteous. Thanks again.
Green China Grill,thank you so much for your review my friend. welcome anytime !
Green China Grill,2nd time here. Got an early dinner so place was quite empty. Got a seat right away and the waitress took my order:Beef wraps with mustard greensHand-pulled noodle soup Lamb skewersI didn't have to wait long for my order. All the items I ordered were delicious. I took a portion of it home. Would come back again. FYI: There's a clear window where you can view the person making the fresh hand-pulled noodles.
Green China Grill,"Green China Grill is a new Chinese Restaurant on Convoy in Kearny Mesa (opened in December 2015).  The food is authentic.  YAY!  The restaurant is known for their hand pulled noodles as well as kebabs (featured from Lanzhou - region in Western China).  My dining partner and I ordered the following:- Roasted Chicken Kebab - dark meat chicken on metal skewers flavored with lots of different flavors and lots of cumin.  YUM!- Braised Beef Brisket Noodle Soup - marinated beef with lots of flavor.  The noodles were perfectly cooked and ""al dente"".  Broth was clear and had a slight floral taste.  YUM!- Spinach Noodle Soup with Beef - marinated beef with lots of flavor.  The noodles were a tad overcooked, so it was more soggy than I would have preferred.   Broth was also clear and had a slight floral taste.TIP 1:  Be sure to watch the fresh hand pulled noodles being pulled from the dough into long thin strands (in the window at the back of the restaurant).  It is pretty neat to watch if you have never seen it before.TIP 2:  The staff at the restaurant seem speak limited English.  Our waitress spoke to us in Chinese; I comprehended what I could based on my limited Mandarin and replied back in English.  When ordering, I spoke in English and pointed to the item on the menu to make sure that our waitress understood.  In the same token, expect service to not be so great (compared to American standards).  If you need something, don't be afraid to raise your hand to flag down a waiter / waitress.  Be assertive!ENJOY!"
Green China Grill,"I was surprised that this place with hand pulled noodles has been open for a year and I've never heard about it until now. However, upon trying the food I can see why this place has not been hyped compared to Shan Xi Magic Kitchen. The current rating of 3.5/5 stars is exactly what I'd give this place. + Spinach Beef Noodles (3/5): The broth is very light which may not be to some people's taste. I didn't think it was bad, but it could definitely have used more flavor. I usually don't have a reaction to MSG but after eating this, my throat felt fuzzy. The beef they give is OK but they only give like 3 pieces of it. Also, the ratio of broth to noodles to beef is just completely off. There are way too many noodles for how much broth and meat there is. The texture of the noodles itself is amazing! I love how chewy they are and how you can see the people pulling the noodles through the window.+ Beef Braised Noodles (3/5): Same commentary as above. Not enough meat or flavor but delicious noodles.+ Beef and Sour Cabbage Pancakes (3/5): The dough is perfectly flaky and delicious but there is almost no filling at all! The beef is basically nonexistent and just the sour cabbage inside doesn't give it enough flavor. This is just dry and lacking. For $9, there's absolutely no way I'd order this again.Overall, the quality of the noodles REALLY saves this place. I would give this place a 5/5 if I was solely basing it off of the noodles! I wish I could buy them alone and add them to my dad's beef noodle soup for the best beef noodle soup combination. However, the bland and MSG filled broth, the stingy portion of meat, and the lack of filling inside the pancake brings this place down to a 3.5 stars. Also, the prices here is too expensive for the quality you get."
Green China Grill,"Decor: Very nice and clean. Love the green walls and everything. It makes the whole restaurant bright! Service: The waitresses were all very friendly. No complaints whatsoever FOOD: Yum! I ordered a noodle dish with lamb skewers. Lamb skewers were perfectly seasons and oh so juicy! You can't go wrong with them. The noodle soup dishes do not have a lot of meat at all so what I did was order lam skewers to get that extra protein. I got the beef soup with spinach noodles (you can substitute the plain noodles with spinach). Very yummy! The meat was melt in your mouth. The broth slightly reminds me of pho with a different spice, I can't put my finger on it. The noodles are really the star of the party. Since they are home made, they have that awesome delectable, chewy texture.  Only regret is there is not a lot of meat. The noodle to meat ratio is pretty ridiculous. But oh wells. The portions are great for the price. Id come here again. :)"
Green China Grill,"Noodles vs rice?  Well, my carb of choice will always be noodles, so when I read about homemade noodles I was in a hurry to check this place out. I visited about a month after opening and I think they were still working out the kinks because their menu was still pretty limited. I was bummed that they were sold out of the braised beef noodle soup, so I had to go with the sirloin beef noodle soup instead.The sirloin beef noodle soup was good. They were were extremely generous with the noodles and it was fun to watch them be pulled through the window. The toppings consisted mainly of cilantro and radish. The real star of the meal were those hearty noodles though. At $7.99 this might be one of the best noodle deals on Convoy. My date and I also shared some spicy beef skewers that reminded me of King Bistro (on Diane Ave.). Would definitely get these again!The waitstaff seemed friendly, although they didn't come around asking if we needed anything."
Green China Grill,"I see now why this place is called Green China Grill! All there chairs are lime green and woven. They were very comfy! This casual eatery has a bright, clean, and modern vibe.My friend found parking first, so she grabbed a table for us. Their menu seemed to have quite a few options, but a lot of the items were not available when we were ready to order. We ended up sharing a large bowl of sirloin noodle soup and grilled squid skewers since she wasn't too hungry. The food was ready pretty fast! I loved the noodles cause they were so fresh! The broth was tasty as well. I was surprised that the squid was so yummy too.Service wasn't that great, but it might just be a language barrier. While we were waiting for our bill, I peeked through the back window and saw a lady making the hand pulled noodles. It was fun to watch and very fascinating. It reminds me of those pretzel makers at the mall."
Green China Grill,"DON'T get their grilled chicken and lamb. They feel pre-boiled.DON'T get their pan-fried noodles. They get overcooked.DO get their Noodles with Braised Beef Brisket. The noodles taste fresh and the flavor is savory and clean. ABSOLUTELY get their Beef and Sour Cabbage Sliced Noodle Soup (the noodles are hand sliced!).Fresh noodles taste much better when they are hand-cut into imperfect pieces. These elements make the noodles fun to chew on. It seems like there's always someone making noodles. Maybe it's just for show, but who knows? The noodles generally taste fresh. That's all that matters."
Green China Grill,I wanted fresh hand pulled noodles. The noodles here were pretty good. I will definitely be back. The chicken skewers was seasoned nicely. Full of flavor!
Green China Grill,Thank you Tnt!
Green China Grill,"Duuuuude. Hand. Pulled. Noodles. There is such a big difference between store bought noodles and fresh ones. Once you've had fresh noodles, it's hard to go back home to store bought ones. I got the hot oil noodles and it was everything I wanted. Precaution: it actually is spicy! I would say it's a 7/8 on the spicy scale. But man, the noodles are amazing. Nothing beats having a mouth full of carbs honestly. The only thing I wish was that it also came with meat. I got beef skewers on the side and they were okay, really tastes like cumin. Kinda expensive for 4 skewers, small pieces of meat and large pieces of fat on each one."
Green China Grill,My friend and I came here to try their homemade noodles and it didn't disappoint. It was sooo delicious. I got the hot and spicy noodle with broth which was $2 extra and my friend got the noodle soup with beef. We also bought some buns and lamb skewers which was also amazing!! Overall we both was full and happy. We definitely will be coming back again to try the rest of the dishes. I tried to take a picture of the lady making fresh noodles but she moves too fast and it came up blurry. But the noods is definitely super fresh and AMAZING
Green China Grill,"Thank you, Maya！"
Green China Grill,"Real deal beef noodle soup with hand pulled noodles (finally!!! it's so hard to find good 牛肉拉面, FYI for newbies to get the full experience you need to dump in as much chili oil as you can tolerate). Like other reviewers said, not that much beef (which is too bad because it's yummy) but a lot of noodle. My advice to the restaurant is to add a dollar or two to the price and add more beef. The snow beef skewer and beef and cabbage rolls were also delicious."
Green China Grill,I just come America like few day and this is my first place I came . For seriously I like this place the noodles is awesome noodles really nice and Got a that sour pancakes that all thing is a handmade and so fast  that  . All thing is cheap and nice 5start absolutely I will be back .
